YEAR,Title,Code,Count,DocTitle,Author,OrgType,NumSign,AuthSignType,DocSignAction,Demographic,YearOrder,details
1970,Student Body Referendum 1970.doc,Abolition/ Defunding,4,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Adding Courses,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Community Labor or Partnership,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Current Iniatives and Working Groups,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Data Collection and Transparency,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Diversity in Student Leadership,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Financial Aid and Financing,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Inclusive Anti Racist Curriculum Programs,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Living Wage,1,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Minority Faculty / Staff Recruitment,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Minority Faculty Retention,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Minority Faculty Staff and Leadership Recruitment,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Minority Student Recruitment,1,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Reparations,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Research or Coursework,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,School Climate,5,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Spaces and Places,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1987,1987 an-audacious-faith.pdf,Abolition/ Defunding,0,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
